model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_25_Kf_dist,23.0,11.0,86.0,74.0,34.0,83.0,23.0,86.0,26.0,34.0,13.0,91.0,51.0,21.0,34.0,11.0,74.0,26.0,83.0,71.0
IGRP_WF_26_Kf_dist,55.0,50.0,47.0,42.0,53.0,50.0,55.0,47.0,57.0,53.0,7.0,91.0,48.0,75.0,53.0,50.0,42.0,57.0,50.0,40.0
IGRP_WF_27_Kf_dist,17.0,12.0,85.0,80.0,24.0,79.0,17.0,85.0,21.0,24.0,73.0,91.0,32.0,3.0,24.0,12.0,80.0,20.0,79.0,77.0
IGRP_WF_28_Kf_dist,49.0,35.0,62.0,48.0,52.0,66.0,49.0,62.0,48.0,52.0,65.0,61.0,60.0,35.0,52.0,35.0,48.0,48.0,66.0,49.0
IGRP_WF_29_Kf_dist,87.0,49.0,48.0,10.0,88.0,86.0,87.0,48.0,87.0,88.0,93.0,1.0,89.0,15.0,88.0,49.0,10.0,88.0,86.0,9.0
IGRP_WF_30_Kf_dist,95.0,87.0,10.0,2.0,95.0,55.0,95.0,10.0,95.0,95.0,91.0,72.0,95.0,11.0,95.0,87.0,2.0,95.0,55.0,2.0
IGRP_WF_31_Kf_dist,34.0,36.0,61.0,63.0,30.0,60.0,34.0,61.0,31.0,30.0,19.0,1.0,35.0,65.0,30.0,36.0,63.0,31.0,60.0,66.0
IGRP_WF_32_Kf_dist,80.0,73.0,24.0,17.0,80.0,21.0,80.0,24.0,80.0,80.0,6.0,1.0,78.0,55.0,80.0,73.0,17.0,80.0,21.0,17.0
IGRP_WF_33_Mc_dist,4.0,28.0,69.0,93.0,2.0,59.0,4.0,69.0,2.0,2.0,47.0,71.0,5.0,51.0,2.0,28.0,93.0,3.0,59.0,94.0
IGRP_WF_34_Mc_dist,56.0,70.0,27.0,41.0,41.0,18.0,56.0,27.0,53.0,41.0,27.0,95.0,31.0,71.0,41.0,70.0,41.0,53.0,18.0,44.0
