model name,t50_bld_pd1,t60_bld_pd1,t70_bld_pd1,t80_bld_pd1,t90_bld_pd1,nseq_bld_pd1
IGRP_WF_69_Mc_add_dist,0.1574585635359116,0.12569060773480664,0.08977900552486189,0.049723756906077346,0.029005524861878452,724
IGRP_WF_6_Kf_add_dist,0.13397790055248618,0.08839779005524862,0.05110497237569061,0.034530386740331494,0.027624309392265192,724
IGRP_WF_70_Mc_add_dist,0.08011049723756906,0.05386740331491713,0.034530386740331494,0.022099447513812154,0.015193370165745856,724
IGRP_WF_71_Mc_add_dist,0.15607734806629833,0.12154696132596685,0.08287292817679558,0.049723756906077346,0.031767955801104975,724
IGRP_WF_72_Mc_add_dist,0.10773480662983426,0.07320441988950276,0.052486187845303865,0.03038674033149171,0.012430939226519336,724
IGRP_WF_73_Mc_add_dist,0.20027624309392264,0.16160220994475138,0.13259668508287292,0.0925414364640884,0.04834254143646409,724
IGRP_WF_74_Mc_add_dist,0.1132596685082873,0.08149171270718232,0.062154696132596686,0.04419889502762431,0.029005524861878452,724
IGRP_WF_75_Mc_add_dist,0.19337016574585636,0.1643646408839779,0.12845303867403315,0.09392265193370165,0.06077348066298342,724
IGRP_WF_76_Mc_add_dist,0.11187845303867404,0.09116022099447514,0.0718232044198895,0.05662983425414365,0.03867403314917127,724
IGRP_WF_77_Mc_add_dist,0.16988950276243095,0.13121546961325967,0.08287292817679558,0.055248618784530384,0.034530386740331494,724
IGRP_WF_78_Mc_add_dist,0.09944751381215469,0.07320441988950276,0.052486187845303865,0.03314917127071823,0.016574585635359115,724
IGRP_WF_79_Mc_add_dist,0.17541436464088397,0.143646408839779,0.11464088397790055,0.0718232044198895,0.03729281767955801,724
IGRP_WF_7_Kf_add_dist,0.22099447513812154,0.19060773480662985,0.15193370165745856,0.10773480662983426,0.07734806629834254,724
IGRP_WF_80_Mc_add_dist,0.12154696132596685,0.08287292817679558,0.06077348066298342,0.03867403314917127,0.029005524861878452,724
IGRP_WF_81_Mc_add_dist,0.1781767955801105,0.15331491712707182,0.11187845303867404,0.07320441988950276,0.03867403314917127,724
IGRP_WF_82_Mc_add_dist,0.10773480662983426,0.07458563535911603,0.055248618784530384,0.03729281767955801,0.027624309392265192,724
IGRP_WF_83_Mc_add_dist,0.19337016574585636,0.15193370165745856,0.12569060773480664,0.08701657458563536,0.05386740331491713,724
IGRP_WF_84_Mc_add_dist,0.13812154696132597,0.10082872928176796,0.06629834254143646,0.04419889502762431,0.027624309392265192,724
IGRP_WF_85_Mc_add_dist,0.15469613259668508,0.10497237569060773,0.0718232044198895,0.04143646408839779,0.029005524861878452,724
IGRP_WF_86_Mc_add_dist,0.0787292817679558,0.055248618784530384,0.03314917127071823,0.015193370165745856,0.008287292817679558,724
IGRP_WF_87_Mc_add_dist,0.1671270718232044,0.12292817679558012,0.07734806629834254,0.05110497237569061,0.03591160220994475,724
IGRP_WF_88_Mc_add_dist,0.12292817679558012,0.0925414364640884,0.06353591160220995,0.03591160220994475,0.019337016574585635,724
IGRP_WF_89_Mc_add_dist,0.18370165745856354,0.15193370165745856,0.11602209944751381,0.0787292817679558,0.04419889502762431,724
IGRP_WF_8_Kf_add_dist,0.12569060773480664,0.09530386740331492,0.0649171270718232,0.052486187845303865,0.04143646408839779,724
IGRP_WF_90_Mc_add_dist,0.10359116022099447,0.08011049723756906,0.06077348066298342,0.04005524861878453,0.026243093922651933,724
IGRP_WF_91_Mc_add_dist,0.18232044198895028,0.14917127071823205,0.1132596685082873,0.07458563535911603,0.05110497237569061,724
IGRP_WF_92_Mc_add_dist,0.10773480662983426,0.08839779005524862,0.05386740331491713,0.04005524861878453,0.026243093922651933,724
IGRP_WF_93_Mc_add_dist,0.17955801104972377,0.12016574585635359,0.08839779005524862,0.05110497237569061,0.031767955801104975,724
IGRP_WF_94_Mc_add_dist,0.09116022099447514,0.06077348066298342,0.04419889502762431,0.026243093922651933,0.019337016574585635,724
IGRP_WF_95_Mc_add_dist,0.20303867403314918,0.15193370165745856,0.11878453038674033,0.07458563535911603,0.04281767955801105,724
IGRP_WF_96_Mc_add_dist,0.11464088397790055,0.08839779005524862,0.05939226519337017,0.03867403314917127,0.023480662983425413,724
IGRP_WF_9_Kf_add_dist,0.1850828729281768,0.15469613259668508,0.12154696132596685,0.08011049723756906,0.05939226519337017,724
