model_name,TP (Kas_Gearty_no_cut)_rk,FP (Kas_Gearty_no_cut)_rk,TN (Kas_Gearty_no_cut)_rk,FN (Kas_Gearty_no_cut)_rk,accuracy (Kas_Gearty_no_cut)_rk,precision (Kas_Gearty_no_cut)_rk,recall (Kas_Gearty_no_cut)_rk,specificity (Kas_Gearty_no_cut)_rk,f1_score (Kas_Gearty_no_cut)_rk,b_accuracy (Kas_Gearty_no_cut)_rk,AUC_value_inf (Kas_Gearty_no_cut)_rk,AUC_value_trn (Kas_Gearty_no_cut)_rk,mcc (Kas_Gearty_no_cut)_rk,log_loss (Kas_Gearty_no_cut)_rk,kappa (Kas_Gearty_no_cut)_rk,fall_out (Kas_Gearty_no_cut)_rk,miss_rate (Kas_Gearty_no_cut)_rk,NPV (Kas_Gearty_no_cut)_rk,lr_plus (Kas_Gearty_no_cut)_rk,lr_minus (Kas_Gearty_no_cut)_rk
IGRP_WF_84_Mc_add_dist,84.0,63.0,33.0,13.0,71.0,39.0,84.0,33.0,88.0,71.0,43.0,1.0,67.0,48.0,71.0,63.0,13.0,86.0,39.0,11.0
IGRP_WF_85_Mc_add_dist,40.0,48.0,49.0,57.0,36.0,48.0,40.0,49.0,32.0,36.0,27.0,1.0,38.0,82.0,36.0,48.0,57.0,22.0,48.0,75.0
IGRP_WF_86_Mc_add_dist,95.0,96.0,1.0,2.0,87.0,1.0,95.0,1.0,95.0,89.0,54.0,1.0,59.0,20.0,89.0,96.0,2.0,95.0,1.0,2.0
IGRP_WF_87_Mc_add_dist,9.0,44.0,53.0,88.0,20.0,49.0,9.0,53.0,3.0,21.0,51.0,1.0,29.0,92.0,20.0,44.0,88.0,3.0,49.0,94.0
IGRP_WF_88_Mc_add_dist,66.0,67.0,30.0,31.0,22.0,28.0,66.0,30.0,39.0,22.0,39.0,1.0,24.0,64.0,22.0,67.0,31.0,57.0,28.0,40.0
IGRP_WF_89_Mc_add_dist,26.0,12.0,85.0,71.0,79.0,86.0,26.0,85.0,70.0,79.0,50.0,1.0,81.0,18.0,79.0,12.0,71.0,66.0,86.0,31.0
IGRP_WF_90_Mc_add_dist,79.0,80.0,17.0,18.0,26.0,18.0,79.0,17.0,54.0,26.0,37.0,1.0,22.0,87.0,26.0,80.0,18.0,73.0,18.0,24.0
IGRP_WF_91_Mc_add_dist,19.0,21.0,76.0,78.0,70.0,76.0,19.0,76.0,56.0,70.0,33.0,1.0,73.0,24.0,70.0,21.0,78.0,34.0,76.0,63.0
IGRP_WF_92_Mc_add_dist,85.0,84.0,13.0,12.0,53.0,15.0,85.0,13.0,83.0,54.0,76.0,1.0,36.0,56.0,54.0,84.0,12.0,84.0,15.0,13.0
IGRP_WF_93_Mc_add_dist,36.0,32.0,65.0,61.0,59.0,64.0,36.0,65.0,51.0,59.0,23.0,1.0,62.0,72.0,59.0,32.0,61.0,35.0,64.0,62.0
IGRP_WF_94_Mc_add_dist,89.0,91.0,6.0,8.0,29.0,4.0,89.0,6.0,78.0,30.0,77.0,1.0,16.0,28.0,30.0,91.0,8.0,81.0,4.0,16.0
IGRP_WF_95_Mc_add_dist,4.0,11.0,86.0,93.0,68.0,82.0,4.0,86.0,40.0,67.0,10.0,1.0,72.0,68.0,67.0,11.0,93.0,10.0,82.0,87.0
IGRP_WF_96_Mc_add_dist,55.0,76.0,21.0,42.0,4.0,20.0,55.0,21.0,7.0,4.0,9.0,1.0,7.0,62.0,4.0,76.0,42.0,21.0,20.0,76.0
