model name,t50_pln_pd1,t60_pln_pd1,t70_pln_pd1,t80_pln_pd1,t90_pln_pd1,nseq_pln_pd1
IGRP_WF_51_Mc_add_dist,0.23636363636363636,0.19090909090909092,0.17272727272727273,0.1318181818181818,0.09090909090909091,220
IGRP_WF_52_Mc_add_dist,0.16363636363636364,0.15,0.09545454545454546,0.06818181818181818,0.04090909090909091,220
IGRP_WF_53_Mc_add_dist,0.21363636363636362,0.16818181818181818,0.10909090909090909,0.09090909090909091,0.06818181818181818,220
IGRP_WF_54_Mc_add_dist,0.15,0.1,0.05909090909090909,0.03636363636363636,0.01818181818181818,220
IGRP_WF_55_Mc_add_dist,0.2318181818181818,0.19545454545454546,0.1590909090909091,0.12272727272727273,0.08636363636363636,220
IGRP_WF_56_Mc_add_dist,0.16363636363636364,0.12727272727272726,0.09545454545454546,0.07272727272727272,0.05,220
IGRP_WF_57_Mc_add_dist,0.2,0.16818181818181818,0.1318181818181818,0.10454545454545454,0.05454545454545454,220
IGRP_WF_58_Mc_add_dist,0.17727272727272728,0.1318181818181818,0.08636363636363636,0.05909090909090909,0.045454545454545456,220
IGRP_WF_59_Mc_add_dist,0.22272727272727272,0.18181818181818182,0.16363636363636364,0.10909090909090909,0.09090909090909091,220
IGRP_WF_5_Kf_add_dist,0.24545454545454545,0.15,0.11363636363636363,0.1,0.06818181818181818,220
IGRP_WF_60_Mc_add_dist,0.17272727272727273,0.15,0.10909090909090909,0.05,0.03636363636363636,220
IGRP_WF_61_Mc_add_dist,0.21818181818181817,0.17272727272727273,0.1318181818181818,0.10909090909090909,0.07727272727272727,220
IGRP_WF_62_Mc_add_dist,0.16363636363636364,0.10454545454545454,0.07727272727272727,0.05,0.02727272727272727,220
IGRP_WF_63_Mc_add_dist,0.2409090909090909,0.18636363636363637,0.13636363636363635,0.11363636363636363,0.08636363636363636,220
IGRP_WF_64_Mc_add_dist,0.17727272727272728,0.1409090909090909,0.11818181818181818,0.06818181818181818,0.031818181818181815,220
IGRP_WF_65_Mc_add_dist,0.22727272727272727,0.19545454545454546,0.12727272727272726,0.1,0.045454545454545456,220
IGRP_WF_66_Mc_add_dist,0.09545454545454546,0.06818181818181818,0.05454545454545454,0.045454545454545456,0.013636363636363636,220
IGRP_WF_67_Mc_add_dist,0.2636363636363636,0.22727272727272727,0.17727272727272728,0.12272727272727273,0.08181818181818182,220
IGRP_WF_68_Mc_add_dist,0.14545454545454545,0.10909090909090909,0.06363636363636363,0.05454545454545454,0.02727272727272727,220
IGRP_WF_69_Mc_add_dist,0.17727272727272728,0.13636363636363635,0.08636363636363636,0.05454545454545454,0.01818181818181818,220
IGRP_WF_6_Kf_add_dist,0.17727272727272728,0.1409090909090909,0.08181818181818182,0.03636363636363636,0.02727272727272727,220
IGRP_WF_70_Mc_add_dist,0.08181818181818182,0.06363636363636363,0.04090909090909091,0.022727272727272728,0.013636363636363636,220
